transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,state,kyc_status
TXN000137,INV01542,119092,2024-10-18,SIP,2500.00,Maharashtra,Verified
TXN000138,INV01543,125497,2017-12-25,SIP,23500.00,West Bengal,Verified
TXN000139,INV01543,125497,2026-04-22,SIP,22000.00,Maharashtra,Verified
TXN000140,INV01543,119551,2025-10-10,SIP,11500.00,Telangana,Verified
TXN000141,INV01544,119092,2014-02-20,Lumpsum,435000.00,Maharashtra,Verified
TXN000142,INV01544,120841,2022-01-10,SIP,24500.00,Kerala,Verified
TXN000143,INV01545,120841,2017-08-29,SIP,22000.00,Gujarat,Verified
TXN000144,INV01546,125497,2014-03-19,Redemption,88000.00,Gujarat,Verified
TXN000145,INV01546,118632,2026-05-23,Redemption,251000.00,Delhi,Verified
TXN000146,INV01546,119092,2022-05-23,Lumpsum,415000.00,Maharashtra,Verified
TXN000147,INV01546,120503,2025-02-15,SIP,7000.00,Rajasthan,Verified
TXN000148,INV01546,120841,2019-11-17,SIP,8000.00,Uttar Pradesh,Verified
TXN000149,INV01546,120841,2016-08-05,Lumpsum,75000.00,Maharashtra,Verified
TXN000150,INV01546,120503,2023-01-27,SIP,500.00,Punjab,Verified
TXN000151,INV01546,118632,2015-04-13,Redemption,94000.00,West Bengal,Verified
TXN000152,INV01546,119551,2013-05-11,Redemption,300000.00,Punjab,Verified
TXN000153,INV01547,120503,2021-05-06,SIP,500.00,Maharashtra,Verified
TXN000154,INV01547,118632,2016-02-19,SIP,15500.00,Delhi,Verified
TXN000155,INV01547,120503,2022-06-29,SIP,2000.00,Maharashtra,Verified
TXN000156,INV01548,120841,2014-12-25,Lumpsum,155000.00,West Bengal,Verified
TXN000157,INV01548,125497,2024-05-23,SIP,19000.00,Madhya Pradesh,Verified
TXN000158,INV01548,119551,2015-09-01,SIP,5500.00,Karnataka,Verified
TXN000159,INV01548,120503,2024-10-22,SIP,25000.00,Maharashtra,Verified
TXN000160,INV01548,119551,2016-06-21,Redemption,163000.00,Karnataka,Verified
TXN000161,INV01549,120503,2014-04-23,Redemption,188000.00,Maharashtra,Verified
TXN000162,INV01550,119551,2013-08-02,Lumpsum,305000.00,Maharashtra,Verified
TXN000163,INV01550,119551,2014-11-17,SIP,4000.00,West Bengal,Verified
TXN000164,INV01551,120503,2016-10-11,Lumpsum,455000.00,Uttar Pradesh,Verified
TXN000165,INV01552,119551,2014-05-09,Lumpsum,330000.00,Delhi,Verified
TXN000166,INV01552,118632,2025-11-01,SIP,2500.00,West Bengal,Verified
TXN000167,INV01552,125497,2018-03-04,SIP,9500.00,West Bengal,Verified
TXN000168,INV01552,119092,2026-03-05,SIP,19500.00,Tamil Nadu,Verified
TXN000169,INV01552,120503,2013-06-23,Lumpsum,90000.00,Delhi,Rejected
TXN000170,INV01553,119551,2020-05-11,Lumpsum,155000.00,Maharashtra,Verified
TXN000171,INV01553,118632,2022-04-19,SIP,7500.00,Maharashtra,Pending
TXN000172,INV01553,125497,2019-11-03,Lumpsum,75000.00,Tamil Nadu,Verified
TXN000173,INV01553,125497,2021-05-29,Lumpsum,270000.00,Karnataka,Verified
TXN000174,INV01553,120841,2024-02-08,Lumpsum,415000.00,West Bengal,Verified
TXN000175,INV01554,120503,2024-12-08,SIP,11500.00,Kerala,Verified
TXN000176,INV01554,119092,2021-08-23,Lumpsum,460000.00,Maharashtra,Verified
TXN000177,INV01554,125497,2021-03-27,Redemption,220000.00,Rajasthan,Verified
TXN000178,INV01555,125497,2017-02-28,Lumpsum,200000.00,Rajasthan,Rejected
TXN000179,INV01556,119551,2022-08-01,SIP,20500.00,Maharashtra,Verified
TXN000180,INV01556,125497,2021-02-11,SIP,23000.00,Madhya Pradesh,Verified
TXN000181,INV01557,119551,2017-04-29,Lumpsum,15000.00,Maharashtra,Verified
TXN000182,INV01558,119551,2014-01-20,SIP,16000.00,Delhi,Verified
TXN000183,INV01558,125497,2016-09-08,SIP,13500.00,Telangana,Verified
TXN000184,INV01558,120503,2017-11-21,SIP,500.00,Uttar Pradesh,Verified
TXN000185,INV01558,120503,2016-05-30,SIP,20000.00,Tamil Nadu,Pending
TXN000186,INV01558,120841,2023-01-14,SIP,12000.00,Rajasthan,Verified
TXN000187,INV01558,120503,2015-06-04,SIP,3000.00,Telangana,Verified
TXN000188,INV01558,119092,2022-11-28,SIP,19000.00,Delhi,Verified
TXN000189,INV01558,119092,2019-09-02,Redemption,256000.00,Karnataka,Verified
TXN000190,INV01558,119092,2019-11-04,SIP,5500.00,Rajasthan,Verified
TXN000191,INV01559,120503,2019-08-19,Redemption,10000.00,Maharashtra,Verified
TXN000192,INV01560,125497,2024-11-10,SIP,4500.00,Maharashtra,Verified
TXN000193,INV01560,120503,2021-09-25,SIP,9000.00,Delhi,Rejected
TXN000194,INV01561,119092,2023-02-05,SIP,2500.00,Maharashtra,Pending
TXN000195,INV01561,119092,2013-01-10,SIP,16500.00,Uttar Pradesh,Verified
TXN000196,INV01561,120841,2025-09-08,Redemption,148000.00,Rajasthan,Verified
TXN000197,INV01561,119551,2019-01-22,SIP,1000.00,Delhi,Verified
TXN000198,INV01562,120503,2016-07-08,SIP,9000.00,Madhya Pradesh,Pending
TXN000199,INV01562,119551,2017-01-31,SIP,3000.00,Punjab,Verified
TXN000200,INV01563,125497,2023-12-10,SIP,5000.00,Maharashtra,Verified
TXN000201,INV01564,119551,2020-04-04,SIP,13500.00,West Bengal,Verified
TXN000202,INV01564,120503,2016-06-15,SIP,20500.00,Gujarat,Verified
TXN000203,INV01564,119092,2024-02-13,SIP,21500.00,Uttar Pradesh,Verified
TXN000204,INV01564,120503,2017-04-15,Lumpsum,40000.00,Maharashtra,Verified
TXN000205,INV01564,120841,2025-12-16,Lumpsum,235000.00,Kerala,Verified
TXN000206,INV01564,119551,2023-11-22,SIP,19500.00,Telangana,Verified
TXN000207,INV01565,119551,2018-07-18,SIP,9500.00,Maharashtra,Verified
TXN000208,INV01565,119551,2014-10-21,SIP,18500.00,West Bengal,Verified
TXN000209,INV01565,118632,2015-07-09,SIP,25000.00,Rajasthan,Pending
TXN000210,INV01565,118632,2021-10-15,Redemption,147000.00,West Bengal,Verified
TXN000211,INV01565,125497,2017-09-28,SIP,19000.00,Madhya Pradesh,Verified
TXN000212,INV01565,119551,2016-05-25,SIP,500.00,Gujarat,Verified
TXN000213,INV01566,120841,2019-08-18,Lumpsum,430000.00,West Bengal,Verified
TXN000214,INV01566,120503,2018-06-19,Redemption,150000.00,Delhi,Verified
TXN000215,INV01567,125497,2014-11-19,SIP,6000.00,Tamil Nadu,Verified
TXN000216,INV01567,125497,2019-05-31,Lumpsum,45000.00,Gujarat,Verified
TXN000217,INV01567,125497,2014-03-07,SIP,23500.00,Delhi,Verified
TXN000218,INV01567,125497,2017-11-20,SIP,20500.00,Telangana,Verified
TXN000219,INV01567,119551,2016-09-26,SIP,22500.00,Madhya Pradesh,Verified
TXN000220,INV01567,120841,2023-08-03,SIP,12000.00,Tamil Nadu,Verified
TXN000221,INV01567,120503,2013-05-24,Lumpsum,190000.00,West Bengal,Rejected
TXN000222,INV01567,119551,2020-11-03,Lumpsum,25000.00,Uttar Pradesh,Verified
TXN000223,INV01567,125497,2020-11-15,Redemption,86000.00,Karnataka,Verified
TXN000224,INV01567,120503,2016-12-25,SIP,3500.00,Tamil Nadu,Pending
TXN000225,INV01567,119551,2025-02-04,SIP,8000.00,Gujarat,Verified
TXN000226,INV01567,119551,2022-03-10,Redemption,145000.00,Punjab,Verified
TXN000227,INV01568,119092,2023-07-07,SIP,24000.00,Tamil Nadu,Verified
TXN000228,INV01569,119551,2017-07-24,Lumpsum,150000.00,Uttar Pradesh,Verified
TXN000229,INV01570,118632,2016-11-01,SIP,11000.00,Uttar Pradesh,Verified
TXN000230,INV01570,119092,2020-09-11,SIP,7500.00,Rajasthan,Pending
TXN000231,INV01570,125497,2024-03-07,Redemption,229000.00,Gujarat,Pending
TXN000232,INV01570,120841,2020-12-17,Lumpsum,395000.00,Maharashtra,Verified
TXN000233,INV01571,120503,2025-12-01,SIP,17000.00,West Bengal,Verified
TXN000234,INV01571,125497,2014-08-10,Redemption,87000.00,Tamil Nadu,Verified
TXN000235,INV01571,120841,2025-02-24,SIP,4500.00,Tamil Nadu,Verified
TXN000236,INV01572,120503,2020-05-16,SIP,8000.00,Karnataka,Verified
TXN000237,INV01573,119551,2024-11-12,Lumpsum,345000.00,Gujarat,Verified
TXN000238,INV01573,120503,2025-09-28,SIP,12500.00,Telangana,Verified
TXN000239,INV01573,120503,2026-04-22,Lumpsum,490000.00,Uttar Pradesh,Pending
TXN000240,INV01573,119092,2020-06-10,Lumpsum,105000.00,Karnataka,Verified
TXN000241,INV01573,125497,2016-01-16,SIP,9000.00,Uttar Pradesh,Verified
TXN000242,INV01573,125497,2025-02-11,SIP,19000.00,Punjab,Pending
TXN000243,INV01573,120503,2016-04-17,SIP,12500.00,Uttar Pradesh,Verified
TXN000244,INV01574,119092,2025-01-21,SIP,13000.00,Delhi,Verified
TXN000245,INV01574,119092,2026-03-04,Lumpsum,370000.00,Karnataka,Verified
TXN000246,INV01574,120503,2021-02-10,SIP,4000.00,Madhya Pradesh,Verified
TXN000247,INV01574,120841,2023-11-25,Lumpsum,435000.00,Uttar Pradesh,Verified
TXN000248,INV01574,120503,2019-08-20,SIP,6000.00,Maharashtra,Verified
TXN000249,INV01574,125497,2025-09-29,Lumpsum,395000.00,Tamil Nadu,Verified
TXN000250,INV01575,120503,2024-11-05,SIP,16000.00,West Bengal,Rejected
TXN000251,INV01576,120503,2021-05-13,Lumpsum,310000.00,Tamil Nadu,Verified
TXN000252,INV01576,118632,2017-11-14,Lumpsum,345000.00,Karnataka,Rejected
TXN000253,INV01577,118632,2024-12-26,SIP,8000.00,Gujarat,Verified
TXN000254,INV01578,120841,2026-06-02,Redemption,104000.00,Delhi,Pending
TXN000255,INV01578,119092,2013-03-24,SIP,19500.00,Uttar Pradesh,Verified
TXN000256,INV01578,125497,2025-05-17,Lumpsum,500000.00,Delhi,Verified
TXN000257,INV01578,120841,2017-11-13,Lumpsum,150000.00,Telangana,Verified
TXN000258,INV01579,119092,2026-03-18,Lumpsum,245000.00,Maharashtra,Verified
TXN000259,INV01580,120503,2019-03-03,Redemption,152000.00,West Bengal,Verified
TXN000260,INV01580,125497,2015-06-18,Lumpsum,115000.00,Uttar Pradesh,Pending
TXN000261,INV01581,120503,2023-12-19,Redemption,162000.00,Tamil Nadu,Verified
TXN000262,INV01581,119551,2024-03-23,Lumpsum,30000.00,Uttar Pradesh,Pending
TXN000263,INV01582,118632,2013-08-22,Lumpsum,320000.00,Maharashtra,Verified
TXN000264,INV01582,118632,2020-09-06,Lumpsum,465000.00,Punjab,Verified
TXN000265,INV01583,120503,2013-05-01,Redemption,178000.00,Uttar Pradesh,Pending
TXN000266,INV01584,119092,2023-12-28,SIP,11000.00,Kerala,Verified
TXN000267,INV01585,120841,2024-05-17,SIP,18000.00,Maharashtra,Verified
TXN000268,INV01585,120503,2017-08-26,Redemption,102000.00,Delhi,Verified
TXN000269,INV01585,118632,2022-03-28,Lumpsum,275000.00,Punjab,Verified
TXN000270,INV01585,125497,2018-02-10,SIP,8000.00,West Bengal,Verified
TXN000271,INV01585,120841,2022-11-07,Lumpsum,440000.00,Delhi,Verified
TXN000272,INV01585,118632,2019-08-03,SIP,8000.00,Punjab,Verified
TXN000273,INV01585,125497,2022-11-07,Redemption,5000.00,Telangana,Verified
TXN000274,INV01586,118632,2026-01-12,SIP,17500.00,Maharashtra,Verified
TXN000275,INV01587,119092,2024-10-13,Lumpsum,30000.00,West Bengal,Verified
TXN000276,INV01588,119551,2013-10-30,SIP,11500.00,Karnataka,Verified
TXN000277,INV01588,119092,2018-05-19,SIP,22500.00,Uttar Pradesh,Verified
TXN000278,INV01589,120841,2025-10-25,SIP,23500.00,Tamil Nadu,Verified
TXN000279,INV01589,120841,2014-06-04,SIP,15000.00,Uttar Pradesh,Verified
TXN000280,INV01589,120503,2020-10-08,Redemption,228000.00,Gujarat,Verified
TXN000281,INV01590,119551,2021-09-17,Lumpsum,455000.00,Maharashtra,Verified
TXN000282,INV01590,118632,2022-03-03,SIP,4500.00,Tamil Nadu,Pending
TXN000283,INV01591,120841,2017-03-17,Lumpsum,60000.00,Gujarat,Verified
TXN000284,INV01591,125497,2026-05-10,SIP,7000.00,Uttar Pradesh,Pending
TXN000285,INV01592,120841,2019-12-13,Redemption,245000.00,Karnataka,Verified
TXN000286,INV01592,120841,2020-12-18,Redemption,253000.00,Tamil Nadu,Verified
TXN000287,INV01592,119092,2020-12-22,Redemption,21000.00,Tamil Nadu,Rejected
TXN000288,INV01592,119551,2026-05-16,SIP,21000.00,Gujarat,Verified
TXN000289,INV01592,125497,2018-08-03,Redemption,34000.00,West Bengal,Verified
TXN000290,INV01592,119092,2026-06-11,Redemption,49000.00,Tamil Nadu,Verified
TXN000291,INV01592,118632,2022-06-27,SIP,7500.00,Telangana,Verified
TXN000292,INV01592,125497,2016-06-06,Lumpsum,370000.00,Karnataka,Rejected
TXN000293,INV01592,118632,2023-04-07,SIP,5500.00,Maharashtra,Verified
TXN000294,INV01593,119092,2016-10-17,Lumpsum,145000.00,Delhi,Verified
TXN000295,INV01593,125497,2020-06-03,SIP,21500.00,Gujarat,Rejected
TXN000296,INV01593,119551,2020-06-16,SIP,5500.00,Uttar Pradesh,Pending
TXN000297,INV01594,125497,2017-11-08,SIP,24500.00,Uttar Pradesh,Verified
TXN000298,INV01595,120503,2013-09-12,SIP,3500.00,Tamil Nadu,Verified
TXN000299,INV01595,118632,2024-11-24,Lumpsum,470000.00,Rajasthan,Verified
TXN000300,INV01595,119551,2023-06-05,SIP,13500.00,Karnataka,Verified
TXN000301,INV01595,119551,2013-10-31,SIP,19500.00,Maharashtra,Verified
TXN000302,INV01596,119551,2025-04-27,Lumpsum,15000.00,Rajasthan,Verified
TXN000303,INV01596,119551,2025-11-02,SIP,6000.00,Tamil Nadu,Verified
TXN000304,INV01597,119551,2017-01-02,Redemption,80000.00,Tamil Nadu,Verified
TXN000305,INV01598,125497,2016-10-01,Lumpsum,480000.00,Maharashtra,Verified
TXN000306,INV01599,120503,2026-01-09,Lumpsum,450000.00,Madhya Pradesh,Verified
TXN000307,INV01600,119551,2025-07-05,Lumpsum,30000.00,Karnataka,Verified
TXN000308,INV01600,119092,2013-05-18,SIP,25000.00,Uttar Pradesh,Verified
TXN000309,INV01601,118632,2024-04-20,SIP,19500.00,Uttar Pradesh,Verified
TXN000310,INV01602,119551,2026-03-17,SIP,14000.00,Karnataka,Verified
TXN000311,INV01602,125497,2013-12-03,SIP,13500.00,Uttar Pradesh,Verified
TXN000312,INV01602,120841,2024-02-06,Lumpsum,30000.00,Karnataka,Pending
TXN000313,INV01603,120503,2026-03-18,Redemption,169000.00,Karnataka,Pending
TXN000314,INV01603,119092,2025-01-25,SIP,18500.00,Rajasthan,Pending
TXN000315,INV01603,125497,2025-12-18,SIP,11000.00,Delhi,Verified
TXN000316,INV01603,118632,2020-02-05,SIP,8000.00,Delhi,Verified
TXN000317,INV01604,125497,2019-07-17,SIP,3500.00,Punjab,Verified
TXN000318,INV01604,125497,2026-05-26,Redemption,42000.00,Gujarat,Verified
TXN000319,INV01605,120503,2014-08-21,SIP,10500.00,Gujarat,Verified
TXN000320,INV01605,119551,2021-11-27,Redemption,2000.00,Delhi,Verified
TXN000321,INV01605,125497,2022-01-20,Lumpsum,220000.00,Karnataka,Verified
TXN000322,INV01605,119551,2022-05-01,SIP,19500.00,Maharashtra,Verified
TXN000323,INV01605,119092,2018-06-14,SIP,14000.00,Delhi,Verified
TXN000324,INV01605,125497,2019-04-17,Redemption,3000.00,Delhi,Verified
TXN000325,INV01605,120841,2017-03-11,SIP,2500.00,Karnataka,Pending
TXN000326,INV01606,119551,2015-01-13,Lumpsum,50000.00,Punjab,Verified
TXN000327,INV01606,120503,2015-03-19,Lumpsum,195000.00,Gujarat,Verified
TXN000328,INV01607,119551,2019-06-10,Redemption,27000.00,Maharashtra,Verified
TXN000329,INV01608,120503,2015-04-10,SIP,2500.00,West Bengal,Verified
TXN000330,INV01609,119092,2020-02-12,SIP,14500.00,Punjab,Verified
TXN000331,INV01610,119092,2016-04-05,SIP,6500.00,Telangana,Verified
